sl_no,text,Label
0,"@mandym00dy Fuk ALcohol and Tobacco its all bad man.....dont be a fukn slave fool. I was and it hurt me bad ..its not worth it..Great JOb Princess, proud of you.",1
1,"Rory Gallagher Live on Irish TV, 1977. 🎶'Too Much Alcohol' https://t.co/nGjuVe6ul5",1
2,"A new trial suggests treatment with the active ingredient in magic mushrooms, combined with psychotherapy, helped curb excessive drinking https://t.co/byiJy674lV",1
3,"A man who can control his sexual urges, thirst for alcohol and keep his temper under control is a focused man",1
4,"@MattWalshBlog Not old enough to drink alcohol until 21, but old enough to choose sterility?",1
5,"People who increased the amount of alcohol they drank also had an increased risk of cancer, according to the results of a large new study
https://t.co/6L25WHQGFP https://t.co/QwHjIPdETs",1
6,@ArizonaCrusader Those who say they don’t have a problem with alcohol would do well to contemplate instead whether they would have a problem without alcohol. You got this. Look forward to having fun without it. Go well.,1
7,"Rory Gallagher Live on Irish TV, 1977. 🎶'Too Much Alcohol' https://t.co/nGjuVe6ul5",1
8,"More than 80% of a study's participants of who were given psilocybin, the ingredient in magic mushrooms, drastically reduced their alcohol intake in eight months. https://t.co/e2NcmeV4Qc",1
9,"Ruining the Society 

2022-Tiktok 
2017-Cellphone    
2010-Video games   
2003-Emails    
1996-Computers
1989-RAP Music 
1954-TV
1936-Household Radios
1920-Grain Alcohol 
1903-Womens Suffrage 
1876-Telephones 
1789-Romantic Novel 
1765-Democracy 
1440-The Printing Press",1
10,Tune in tonight for this ⁦@NBCNightlyNews⁩ segment with ⁦@HarrySmith⁩ on the landmark clinical trial I was lucky enough to participate in. ~50% of the study participants quit drinking alcohol after psilocybin-assisted therapy. https://t.co/3w0Y0v1max,1
11,"'*•.¸♡ giveaway ♡¸.•*'

alcohol spray + id photo ( random ) 

— 100 sets. 

thunder dome | time : tba

by : @ttxswsy  @meindyu  @chubbyyoun 

🖇 rt , show this tweet 

#WOODZ_ColorfulTrauma_inBKK https://t.co/PmqFsPzT9A",1
12,"This is super embarrassing, but it’s been 8 months of no alcohol and tons of self care &amp; look what I’ve accomplished 🥹 https://t.co/wIpX0nfowm",1
13,"Here's how to beat Porn, alcohol, tobacco, weed, social media abuse with zero relapse in 12 weeks 🧵 ;",1
14,"""Alcohol-Free"" &amp; TWICE (트와이스) are currently trending at #6 and #7 on MelOn Realtime search 🔥

TalkThatTalk MV Teaser2
#TalkThatTalk #Between1and2   
#TWICE @JYPETWICE https://t.co/PMAMocsDMZ",1
15,"Time:Revati is related to time also.Saturn which rules time is born in this nakshatra.Also Revati can loose the track of time because of their day dreaming, imaginations, getting high(could be hobby, alcohol etc)

Also do revati natives loves watches a lot..? https://t.co/lOqF7wvjTG",1
16,"#GodMorningThrusday
it is a heinous sin to drink alcohol, etc meat, and consume tobacco..
__________________________
- 𝑺𝒂𝒏𝒕 𝑹𝒂𝒎𝒑𝒂𝒍 𝒋𝒊 𝑴𝒂𝒉𝒂𝒓𝒂𝒋
-Must Watch Sadhna TV 7:30PM (IST).
🌳🌲🌸🌺🥀🌷 https://t.co/rLVeFSa5sm",1
17,"'Bookmakers ruin entire families - they are worse than alcohol' 

@TeamKhabib on why Eagle FC will never be sponsored by betting sites https://t.co/ibUWJ3BEjQ",1
18,"@Leo_Puglisi6 You have much to learn about the power of free anything, let alone alcohol. I'd sit through 1 speaker speaking 28 times",1
19,"@IvanMassow Corruption, lies, sex scandals, drugs and alcohol abuse in gov buildings, corporate manslaughter...",1
20,@rekishi_repeats @DailyMail Might have been the drugs and alcohol?,1
21,Tell me you have an alcohol problem without telling me you have an alcohol problem. https://t.co/kCj8s8L2kw,1
22,"Rory Gallagher Live on Irish TV, 1977. 🎶'Too Much Alcohol' https://t.co/nGjuVe6ul5",1
23,"Onapito Ekomoloit officially launches the #MindYourDrink campaign, which is aimed at creating public awareness about the dangers of illicit alcohol. https://t.co/1E4D58G7i1",1
24,"'Bookmakers ruin entire families - they are worse than alcohol' 

@TeamKhabib on why Eagle FC will never be sponsored by betting sites https://t.co/ibUWJ3BEjQ",1
25,"People tend to be surprised to hear that I don’t drink at all but listen

Why would I want to drink something with alcohol in it when I can drink something without alcohol and have it taste even better, because alcohol tastes like shit

🤷‍♀️",1
26,"More than 80% of a study's participants of who were given psilocybin, the ingredient in magic mushrooms, drastically reduced their alcohol intake in eight months. https://t.co/e2NcmeV4Qc",1
27,"@NBLUganda is partnering with @URAuganda , @uaia_ug  and @UNBSug in  its newly launched campaign called #MindYourDrink .
Research carried out shows that this alcohol accounts for 65% of the alcohol market in Uganda. https://t.co/xe1xfgGfsK",1
28,"Rory Gallagher Live on Irish TV, 1977. 🎶'Too Much Alcohol' https://t.co/nGjuVe6ul5",1
29,"By the way, Ruto has a child, a daughter with Odinga family. I've seen the girl. Smiled at her even. I respect men like Ruto, they dominate. Doyen doesn't drink alcohol, but he eats. Akishika wewe, utalia. And anazaa COPYRIGHT.",1
