,text
0,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
1,"#DrugPeddlers_Arrested
Narcotic Cell DD arrested two persons from Entally PS area and 160 grams heroin was recovered from their possession.
@CPKolkata @KolkataPolice https://t.co/I4QGaJWTmG"
2,@k340029 @MayoIsSpicyy I think daily drug use will do that for you.  Better back down although I'm sure you love heroin and fentanyl because your man brings it across the border by the ton.
3,"dem white boys be trappin meth, heroin coke n weed after 12am to all dem rich white people shi be crazy ashellll"
4,"Alleged drug dealer travelling from Gauteng to Durban arrested again, this time with heroin powder worth R350 000 https://t.co/timuLgp7fa"
5,"Narcotics Squad/NorthWest distt. busted an interstate drug syndicate based in U.P, supplying to various states including Delhi-NCR; 3 Drug Peddlers nabbed. 280g heroin worth ₹1 Cr in the international market recovered from their possession. 

#DelhiPoliceUpdates https://t.co/iR5VPhNIGk"
6,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
7,"Alleged drug dealer travelling from Gauteng to Durban arrested again, this time with heroin powder worth R350 000 https://t.co/fq0yHQ2UQ6"
8,@EmersonPolling @JohnFetterman @DrOz How can anyone seriously vote for a socialist like Fetterman? He thinks men should be able to play in womens sports. He thinks we should release criminals onto the streets and he also thinks we should have safe place so you can shoot heroin. #Oz is the right pick.
9,"@RWApodcast Theyre already isolated, doing IV heroin in a commie block with other bydlos."
10,@wowthatshiphop Cardi B dead due to heroin overdose news coming soon
11,"Now if @POTUS would change marijuana from a Schedule 1 to Schedule 5 ""drug"", his poll numbers would skyrocket!

Pot shouldn't be in the same Schedule as the likes of heroin, fentanyl, cocaine and other dangerous substances."
12,@BleuCapone I’ll sell HEROIN before I clean toilets
13,@tragicbirdapp These are the same people who wanted to band Trainspotting because they thought it glorified heroin
14,"Alleged drug dealer travelling from Gauteng to Durban arrested again, this time with heroin powder worth R350 000 https://t.co/T0zuvyHpG4"
15,"@Rheenie_85 @tanya_plibersek @peterstefanovic @SkyNewsAust He is a convicted heroin dealer, he will take what he can get"
16,"myalgic heroin analogy cable constantly hairpiece
؟?
نمشے

🔹VOX2🔹
🔹VOX2🔹
🔹VOX2🔹"
