,text
0,"#cannabis #marijuana #weed #cannabiscommunity 4 Ways You Can Use CBD To Get The Most Out Of It … natural remedy for various ailments. CBD offers several health benefits,  … /rLR4smahG2Q
        1. Use CBD Topically
        CBD topicals are lotions, https://t.co/EroU1G5cH7 https://t.co/9JWd8JTD7q"
1,3 Marijuana Stocks That Could Start To Trade Higher #marijuanastocks #gains #stocks #money  #invest https://t.co/uOZarqe2sM
2,"@ArmendarizDis16 Chop off your *ick after one psychiatrist meeting-legal, Recreational Marijuana use to suppress multiple dieses/mental/physical disorders for decades-illegal."
3,If Mitch McConnell ushers in the entire opioid epidemic on his watch (w KY being 1 of the 3 states specifically targeted by Purdue Pharma) and then also prohibits medical marijuana to help addicts recover in his own state does that make him a regular monster or an extra monster?
4,If Mitch McConnell ushers in the entire opioid epidemic on his watch (w KY being 1 of the 3 states specifically targeted by Purdue Pharma) and then also prohibits medical marijuana to help addicts recover in his own state does that make him a regular monster or an extra monster?
5,I don’t know a single person in Kentucky who thinks marijuana should be illegal. Most everyone I know has been growing their own weed since they were young.
6,@sourdnft @thegalaxyloung1 @nys_cannabis Thats for adult use/recreational … medical marijuana home grow was introduced about a year ago and should be legal by now it’s two separate languages … so before  you comment do your research…
7,"‘Specimen of marijuana growing on farm near Plano, Illinois.’ 1938 https://t.co/4hHuCWdxl3"
8,If Mitch McConnell ushers in the entire opioid epidemic on his watch (w KY being 1 of the 3 states specifically targeted by Purdue Pharma) and then also prohibits medical marijuana to help addicts recover in his own state does that make him a regular monster or an extra monster?
9,If Mitch McConnell ushers in the entire opioid epidemic on his watch (w KY being 1 of the 3 states specifically targeted by Purdue Pharma) and then also prohibits medical marijuana to help addicts recover in his own state does that make him a regular monster or an extra monster?
10,If Mitch McConnell ushers in the entire opioid epidemic on his watch (w KY being 1 of the 3 states specifically targeted by Purdue Pharma) and then also prohibits medical marijuana to help addicts recover in his own state does that make him a regular monster or an extra monster?
11,@TheLostOgle Seeing the number of “medicinal” marijuana shops all over the state tells me it is already recreational.  Let’s be real.
12,If Mitch McConnell ushers in the entire opioid epidemic on his watch (w KY being 1 of the 3 states specifically targeted by Purdue Pharma) and then also prohibits medical marijuana to help addicts recover in his own state does that make him a regular monster or an extra monster?
13,I layed off marijuana and now my dreams are so vivid it’s kinda freaking me out bc it’s shit I think about through my day
14,"@tommyboy0690 @YahooNews Fl politics=cesspool
""...prosecutors turned their attention to Tallahassee...this...involved interviews with possible witnesses/subjects in connection to another spoke of the Gaetz case-an alleged public corruption scheme to influence marijuana policy...involves state officials"""
15,KJ should win an OSCAR for looking at a marijuana plant like it’s his first time.
16,Please Retweet #marijuana 🍃 https://t.co/S4ohDsMi6A
17,Marijuana smokers who hold the smoke in their lungs for more than ten seconds cause excessive damage to their lower respiratory tract. Holding the smoke in for so long doesn't maximize THC absorption (which happens rapidly). Smoke should be held in for a maximum of three seconds.
18,#Cannabis Tourists Not Welcome in Thailand Even Though the Country Has Legalized Medical and Recreational Marijuana https://t.co/9SVfgdVr8O
19,"So if you need someone's permission
To live your life just like you wanna
You have it, here, I give it to you
Along with this fat bag of marijuana https://t.co/rIHZTGJJwx"
