,text
0,"Extended Duration Treatment of Tobacco Dependence: A Systematic Review and Meta-Analysis

🔗 https://t.co/CjdUnIMRta https://t.co/1eJv3VySQy"
1,"As a cancer researcher it always hurts me that we don't address the root cause of diseases.

How you feel when a parent lets their child smoke is how I feel when I see them feeding children animal products. 

Tobacco &amp; processed meat are group 1 carcinogenic: they CAUSE cancer!! https://t.co/I44veppxla"
2,Quit smoking @WHO #MedEd #MedTwitter #CommitToQuit #FOAMed #QuitSmoking #tobacco https://t.co/X8JnY5J2le
3,"#GodMoringMonday 
Tobacco is the biggest hindrance in the path of bhakti ....
#SantRampalJiQuotes ..... https://t.co/lO9d9rli1F"
4,"As a cancer researcher it always hurts me that we don't address the root cause of diseases.

How you feel when a parent lets their child smoke is how I feel when I see them feeding children animal products. 

Tobacco &amp; processed meat are group 1 carcinogenic: they CAUSE cancer!! https://t.co/I44veppxla"
5,"Each of Us Is Capable of Making A Difference!

Simply touched and proud of our bus conductor, advising passengers to maintain cleanliness and avoid tobacco products.

Together, we will accomplish the goal of @SwachhBharatGov as envisioned by Adarniya PM Shri @narendramodi Ji. https://t.co/WQs552bxNi"
6,I tried a vape once and enjoyed it but i do not know how people can have such little dignity and self respect that they will go in to a shop and ask for a 'blue mango geek bar'. Get some tobacco in those lungs for goodness sake
7,"India: Share of female adults consuming tobacco:

2020: 13%
2018: 15%
2015: 17%
2010: 23%
2005: 30%
2000: 39%

(WHO: World Bank)"
8,It could highlight how the traditional tobacco control policies supported by @EU_HaDEA  did not work in the UK and are not working in the EU https://t.co/yQGKwrpfad
9,"#GodMorningThrusday
it is a heinous sin to drink alcohol, etc meat, and consume tobacco..
__________________________
- 𝑺𝒂𝒏𝒕 𝑹𝒂𝒎𝒑𝒂𝒍 𝒋𝒊 𝑴𝒂𝒉𝒂𝒓𝒂𝒋
-Must Watch Sadhna TV 7:30PM (IST).
🌳🌲🌸🌺🥀🌷 https://t.co/4G6j7SnJuF"
10,Tobacco kills more than 8 million people each year. More than 7 million of those deaths are the result of direct tobacco use while around 1.2 million die due to exposure to second-hand smoke. #Tobaccoff https://t.co/lFwYZMd40d
11,"Oh my gosh.  Two of the best.  I could watch Ernie ""the cat"" Ladd promos all day long... And as far as that goes Stan ""the lariat"" Hansen could cut a great promo too with chewing tobacco and juice flying out and running down his chin.  @ReanaMK if I could take you back to 1985... https://t.co/XOQJYPmnW8"
12,"🔴REVEALED

A pastor and prominent civil rights campaigner in the US says he was offered $250,000 to oppose plans to ban the sale of menthol cigarettes. 

He was told the money was coming from a tobacco company… (🧵)

https://t.co/Ip3hQfFxdq"
13,Quit smoking @WHO #MedEd #MedTwitter #CommitToQuit #FOAMed #QuitSmoking #tobacco https://t.co/X8JnY5J2le
